Date,China,USA
2020-01-23,95,0
2020-01-24,277,1
2020-01-25,486,0
2020-01-26,669,3
2020-01-27,802,0
2020-01-28,2632,0
2020-01-29,578,0
2020-01-30,2054,0
2020-01-31,1661,2
2020-02-01,2089,1
2020-02-02,4739,0
2020-02-03,3086,3
2020-02-04,3991,0
2020-02-05,3733,0
2020-02-06,3147,0
2020-02-07,3523,0
2020-02-08,2704,0
2020-02-09,3015,0
2020-02-10,2525,0
2020-02-11,2032,1
2020-02-12,373,0
2020-02-13,15136,1
2020-02-14,6463,0
2020-02-15,2055,0
2020-02-16,2100,0
2020-02-17,1921,0
2020-02-18,1777,0
2020-02-19,408,0
2020-02-20,458,0
2020-02-21,473,2
2020-02-22,1451,0
2020-02-23,21,0
2020-02-24,219,0
2020-02-25,513,0
2020-02-26,412,0
2020-02-27,434,1
2020-02-28,328,0
2020-02-29,428,8
2020-03-01,576,6
2020-03-02,204,23
2020-03-03,125,20
2020-03-04,125,31
2020-03-05,151,70
2020-03-06,153,48
2020-03-07,80,115
2020-03-08,53,114
2020-03-09,37,68
2020-03-10,27,192
2020-03-11,34,398
2020-03-12,11,452
2020-03-13,13,596
2020-03-14,32,713
2020-03-15,26,98
2020-03-16,30,1392
2020-03-17,25,1781
2020-03-18,44,2776
2020-03-19,54,5240
2020-03-20,94,5322
2020-03-21,55,6346
2020-03-22,130,7936
2020-03-23,63,10089
2020-03-24,93,10262
2020-03-25,70,11943
2020-03-26,121,18036
2020-03-27,115,18185
2020-03-28,102,19793
2020-03-29,123,19136
2020-03-30,76,21502
2020-03-31,81,26017
2020-04-01,82,25481
2020-04-02,71,30405
2020-04-03,79,31937
2020-04-04,32,33152
2020-04-05,59,27874
2020-04-06,63,29642
2020-04-07,53,30777
2020-04-08,91,31694
2020-04-09,74,34756
2020-04-10,58,33501
2020-04-11,73,30026
2020-04-12,120,28553
2020-04-13,79,25291
2020-04-14,93,27065
2020-04-15,50,29096
2020-04-16,47,31298
2020-04-17,357,32724
2020-04-18,27,28341
2020-04-19,18,26038
2020-04-20,12,27341
2020-04-21,36,25602
2020-04-22,15,28104
2020-04-23,16,34195
2020-04-24,15,36291
2020-04-25,10,32921
2020-04-26,3,27689
2020-04-27,6,22465
2020-04-28,22,24535
2020-04-29,4,27520
2020-04-30,12,29629
2020-05-01,3,34162
2020-05-02,0,29195
2020-05-03,5,25587
2020-05-04,2,22475
2020-05-05,2,24185
2020-05-06,2,25256
2020-05-07,5,27882
2020-05-08,1,27178
2020-05-09,14,25733
2020-05-10,20,19764
2020-05-11,1,18878
2020-05-12,7,22190
2020-05-13,6,20958
2020-05-14,5,27617
2020-05-15,9,25300
2020-05-16,6,25101
2020-05-17,10,19004
2020-05-18,9,21769
2020-05-19,0,20449
2020-05-20,0,23807
2020-05-21,0,25355
2020-05-22,18,24141
2020-05-23,3,21823
2020-05-24,11,20813
2020-05-25,7,18991
2020-05-26,1,18883
2020-05-27,3,18282
2020-05-28,0,22815
2020-05-29,17,24504
2020-05-30,5,24450
2020-05-31,18,19910
2020-06-01,8,17355
2020-06-02,7,20895
2020-06-03,-1,19958
2020-06-04,11,21351
2020-06-05,6,25224
2020-06-06,9,22732
2020-06-07,5,17731
2020-06-08,4,17415
2020-06-09,3,18127
2020-06-10,11,20794
2020-06-11,7,22950
2020-06-12,12,25330
2020-06-13,58,25556
2020-06-14,49,19824
2020-06-15,43,19660
2020-06-16,44,23705
2020-06-17,36,25559
2020-06-18,36,27809
2020-06-19,0,31480
2020-06-20,59,32749
2020-06-21,19,26439
2020-06-22,52,30536
2020-06-23,29,35188
2020-06-24,20,34935
2020-06-25,28,39873
2020-06-26,24,45255
2020-06-27,18,42705
2020-06-28,14,39605
2020-06-29,23,40804
2020-06-30,5,45746
2020-07-01,31,51174
2020-07-02,14,54461
2020-07-03,8,53312
2020-07-04,19,45880
2020-07-05,14,49883
2020-07-06,18,44953
2020-07-07,28,60021
2020-07-08,33,58601
2020-07-09,42,63247
2020-07-10,0,67791
2020-07-11,79,60188
2020-07-12,46,59017
2020-07-13,0,59215
2020-07-14,109,67417
2020-07-15,20,67328
2020-07-16,81,77255
2020-07-17,75,71558
2020-07-18,16,63698
2020-07-19,85,61847
2020-07-20,119,61417
2020-07-21,86,64534
2020-07-22,198,70910
2020-07-23,139,68695
2020-07-24,157,73715
2020-07-25,179,66439
2020-07-26,189,54953
2020-07-27,213,56414
2020-07-28,207,65869
2020-07-29,223,70776
2020-07-30,276,68033
2020-07-31,166,67092
2020-08-01,172,58485
2020-08-02,158,47580
2020-08-03,114,45368
2020-08-04,107,57540
2020-08-05,122,52810
2020-08-06,132,59692
2020-08-07,120,58173
2020-08-08,92,56174
2020-08-09,121,46935
2020-08-10,113,49536
2020-08-11,52,46808
2020-08-12,87,56203
2020-08-13,99,51547
2020-08-14,70,64294
2020-08-15,65,47913
2020-08-16,96,42048